wallet_address,total_reward,solved_predictions
0xfC50C0a67720489Db7a45097D7fE3cBEA673E441,1.5200,9
0x6eC33cecEa8B5E0423699A2866504FF3AF3CF53F,91.7400,16
0x85a1B8Fb2551ee4A1186Be82a407d9E0f0e63a0E,34.2200,16
0x1e18567f59F3aA7C03Fe971bf4687aF4A7efD8E5,0.0200,1
0x850Fe27f63de12b601C0203b62d7995462D1D1Bc,9.3600,8
0x21936891980408e3f643C8593485b3B6413E153a,61.4400,3
0x9f07B8083D33dAf0CDF95219BFeae068CccE2da4,29.8900,12
0xbfdc6b6aB2567261520e68389253F8119E215b66,0.2800,1
0x5A6a19033E3790891A00d97BE1931e45B2a78FF7,0.8300,1
0x333E25aE6764245a2417D1470560E82320325a72,0.3500,2
0x4375fF66A42511E67A2a00aFd83Dd9AD0C446640,0.2800,1
0x2f144F05c5E07a51758Bd1C8fA635aD79B7f4E5C,1.1500,2
0xE06103884a9a7eED89A4070B30F3dF444df348f4,37.8000,8
0x99095B01f51c73b143b487669488E220Fc16EA44,0.4200,1
0x304EEBFB493E034DBC28B082fAdC1161f5Df1bE3,90.9000,15
0xd83256a8BB182e7BE2382550Ed24861C71108d35,1.0800,3
0x3144ca8BF475724b8a460956A1255F6B603e1196,0.0400,1
0xccaBbE798c62F7E3D53DddEF52c1463dE67A3093,0.2500,2
0x927521Baeba66f707a77B91910a84Ff5CCf3447A,1.9400,4
0x416A3Bf5227b35985D975386215a47cA67f21Dc9,0.1200,1
0x5E58fF09350631C79dd00beC30d6DE329FC072c0,1.3700,3
0xD248038CEd3531B299758520de412bc18369106f,0.1800,1
0xa01cD1Bd7AD71801097B38Fb27d8443afdD2ea36,0.1000,1
0x7CB2a9E1644F437022BD152ca11b28ec9D34E932,0.3700,2
0x4A543A38203B87feA43E5096540CC136Bf071f5a,0.5100,2
0x1FCdC3019Fa2D6D9CE140fE636d8FfF775c8A437,0.1300,1
0xBa4f7Bd0742Aef92428010d703Df601F1C52B4c6,0.3700,2
0x62E1b0f5D4D4bD308eC3c3961D3f4E7Fd4cf83D5,0.1000,1
0x91a4fCB377a6E359Ad42C9C81855a54978a7F951,0.4700,2
0xe5c91B431cdC2bBde1dafd94E94c29bcbee49Ead,0.0800,1
0x5fb569DFC7ca5354349D4a2fC0a67f6c121A3069,1.2500,1
0x9DF257667a14cf0c8473c7d6f11599E613867B18,0.3700,1
0x9fD634393707ad07739d63C81011BA067681a19A,8.4600,4
0x81Ff50Fc4843524887eb0F54e4532cb82B8A580F,0.0800,1
0xCF69832d84Dc16a7D50223EE116E2cE05DADa9B0,0.4500,3
0x46C7A437c41A7C3d90915217C9FCeF73B403B72D,0.0400,2
0xB111c9Ca49EbC4bA5e2c5E07D9607062928E8664,0.3700,2
0x5a9730f83DDB74c3E19981cBDD8133bBFF7217c6,2.9300,4
0x9449f256f192DfAf039739C5C3FC0A16b482b0c1,0.5100,2
0x036228015972297b37aCb933BB924c0384b6BEd5,0.2600,1
0x5290797F8F69B7cDbdF407F8dEBfb388cB716dc7,44.8400,9
0xCEFf91182894168103F26d748Ac6c4CFF8934fB3,1.9400,4
0x9b911f853d400bFc39bF1fabA1eeB0ABc9f11F33,8.1700,7
0x656598FA9cb53B79F9311D0FDfCFf946876279fC,0.4400,3
0x33fA83e5622d32974e09d5993f47c0eBF6FCADf5,0.6800,2
0x4ed4aea7e16014cFD8f54560c2caea543b90edf5,2.1800,3
0x3DfEdb4f6444239e4616269FcDfB9f5BBC62FA47,0.0400,2
0x92048EcaBb41F8Eee7c3aCdAA67C9D54485C70ca,8.8400,5
0x84B744a80E91cfBafE787Eb360326C4E21CbB3CA,2.5700,1
0xD09989A66391BF22271605593CD6408720413657,0.4100,2
0x9b6D699aF067AAaF54055d164B3f260052C6F998,0.1600,2
0xdc05F7Dd00A32Fa851945F3C40eC03b2a0CA6968,0.2000,2
